Nomask,Mask,Date
9.5,23,"""7/13/2020"""
9.2,19.5,"""7/14/2020"""
9.5,20,"""7/15/2020"""
9.8,20,"""7/16/2020"""
9.7,19.5,"""7/17/2020"""
9.6,20,"""7/18/2020"""
9,20,"""7/19/2020"""
8.5,20,"""7/20/2020"""
8.3,21,"""7/21/2020"""
8.4,20.8,"""7/22/2020"""
8.4,19.9,"""7/23/2020"""
9,20.2,"""7/24/2020"""
9.9,19.7,"""7/25/2020"""
10,19.3,"""7/26/2020"""
9.8,18.6,"""7/27/2020"""
9.6,16.8,"""7/28/2020"""
9.6,16.6,"""7/29/2020"""
9.8,16.7,"""7/30/2020"""
9.6,16.2,"""7/31/2020"""
9,16,"""8/1/2020"""
9,16,"""8/2/2020"""
9,16,"""8/3/2020"""